cell,Drug_comb,drug1,drug2,score,true_label,smile1,smile2
HCT116,5-FU_AZD1775_HCT116,5-FU,AZD1775,13.96127138,1,O=c1[nH]cc(F)c(=O)[nH]1,C=CCn1c(=O)c2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc2n1-c1cccc(C(C)(C)O)n1
HT29,5-FU_AZD1775_HT29,5-FU,AZD1775,-2.712205241,0,O=c1[nH]cc(F)c(=O)[nH]1,C=CCn1c(=O)c2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc2n1-c1cccc(C(C)(C)O)n1
KPL1,5-FU_AZD1775_KPL1,5-FU,AZD1775,-2.061161349,0,O=c1[nH]cc(F)c(=O)[nH]1,C=CCn1c(=O)c2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc2n1-c1cccc(C(C)(C)O)n1
LOVO,5-FU_AZD1775_LOVO,5-FU,AZD1775,-4.001507328,0,O=c1[nH]cc(F)c(=O)[nH]1,C=CCn1c(=O)c2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc2n1-c1cccc(C(C)(C)O)n1
MDAMB436,5-FU_AZD1775_MDAMB436,5-FU,AZD1775,23.3811342,1,O=c1[nH]cc(F)c(=O)[nH]1,C=CCn1c(=O)c2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc2n1-c1cccc(C(C)(C)O)n1
MSTO,5-FU_AZD1775_MSTO,5-FU,AZD1775,-32.99061919,0,O=c1[nH]cc(F)c(=O)[nH]1,C=CCn1c(=O)c2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc2n1-c1cccc(C(C)(C)O)n1
NCIH1650,5-FU_AZD1775_NCIH1650,5-FU,AZD1775,10.77339767,1,O=c1[nH]cc(F)c(=O)[nH]1,C=CCn1c(=O)c2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc2n1-c1cccc(C(C)(C)O)n1
NCIH23,5-FU_AZD1775_NCIH23,5-FU,AZD1775,-7.115899185,0,O=c1[nH]cc(F)c(=O)[nH]1,C=CCn1c(=O)c2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc2n1-c1cccc(C(C)(C)O)n1
NCIH460,5-FU_AZD1775_NCIH460,5-FU,AZD1775,13.58269769,1,O=c1[nH]cc(F)c(=O)[nH]1,C=CCn1c(=O)c2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc2n1-c1cccc(C(C)(C)O)n1
OV90,5-FU_AZD1775_OV90,5-FU,AZD1775,-3.193651947,0,O=c1[nH]cc(F)c(=O)[nH]1,C=CCn1c(=O)c2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc2n1-c1cccc(C(C)(C)O)n1
RKO,5-FU_AZD1775_RKO,5-FU,AZD1775,19.33320151,1,O=c1[nH]cc(F)c(=O)[nH]1,C=CCn1c(=O)c2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc2n1-c1cccc(C(C)(C)O)n1
RPMI7951,5-FU_AZD1775_RPMI7951,5-FU,AZD1775,16.72201512,1,O=c1[nH]cc(F)c(=O)[nH]1,C=CCn1c(=O)c2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc2n1-c1cccc(C(C)(C)O)n1
SKMES1,5-FU_AZD1775_SKMES1,5-FU,AZD1775,33.3532584,1,O=c1[nH]cc(F)c(=O)[nH]1,C=CCn1c(=O)c2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc2n1-c1cccc(C(C)(C)O)n1
SKOV3,5-FU_AZD1775_SKOV3,5-FU,AZD1775,18.74496394,1,O=c1[nH]cc(F)c(=O)[nH]1,C=CCn1c(=O)c2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc2n1-c1cccc(C(C)(C)O)n1
T47D,5-FU_AZD1775_T47D,5-FU,AZD1775,10.0383629,1,O=c1[nH]cc(F)c(=O)[nH]1,C=CCn1c(=O)c2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc2n1-c1cccc(C(C)(C)O)n1
UACC62,5-FU_AZD1775_UACC62,5-FU,AZD1775,11.45935053,1,O=c1[nH]cc(F)c(=O)[nH]1,C=CCn1c(=O)c2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc2n1-c1cccc(C(C)(C)O)n1
VCAP,5-FU_AZD1775_VCAP,5-FU,AZD1775,-0.998327533,0,O=c1[nH]cc(F)c(=O)[nH]1,C=CCn1c(=O)c2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc2n1-c1cccc(C(C)(C)O)n1
A2058,5-FU_BEZ-235_A2058,5-FU,BEZ-235,13.6791116,1,O=c1[nH]cc(F)c(=O)[nH]1,Cn1c(=O)n(-c2ccc(C(C)(C)C#N)cc2)c2c3cc(-c4cnc5ccccc5c4)ccc3ncc21
HT29,5-FU_BEZ-235_HT29,5-FU,BEZ-235,11.89580272,1,O=c1[nH]cc(F)c(=O)[nH]1,Cn1c(=O)n(-c2ccc(C(C)(C)C#N)cc2)c2c3cc(-c4cnc5ccccc5c4)ccc3ncc21
KPL1,5-FU_BEZ-235_KPL1,5-FU,BEZ-235,16.46284909,1,O=c1[nH]cc(F)c(=O)[nH]1,Cn1c(=O)n(-c2ccc(C(C)(C)C#N)cc2)c2c3cc(-c4cnc5ccccc5c4)ccc3ncc21
LNCAP,5-FU_BEZ-235_LNCAP,5-FU,BEZ-235,55.29129934,1,O=c1[nH]cc(F)c(=O)[nH]1,Cn1c(=O)n(-c2ccc(C(C)(C)C#N)cc2)c2c3cc(-c4cnc5ccccc5c4)ccc3ncc21
MDAMB436,5-FU_BEZ-235_MDAMB436,5-FU,BEZ-235,18.97429236,1,O=c1[nH]cc(F)c(=O)[nH]1,Cn1c(=O)n(-c2ccc(C(C)(C)C#N)cc2)c2c3cc(-c4cnc5ccccc5c4)ccc3ncc21
MSTO,5-FU_BEZ-235_MSTO,5-FU,BEZ-235,-8.321116212,0,O=c1[nH]cc(F)c(=O)[nH]1,Cn1c(=O)n(-c2ccc(C(C)(C)C#N)cc2)c2c3cc(-c4cnc5ccccc5c4)ccc3ncc21
NCIH1650,5-FU_BEZ-235_NCIH1650,5-FU,BEZ-235,17.63815521,1,O=c1[nH]cc(F)c(=O)[nH]1,Cn1c(=O)n(-c2ccc(C(C)(C)C#N)cc2)c2c3cc(-c4cnc5ccccc5c4)ccc3ncc21
NCIH460,5-FU_BEZ-235_NCIH460,5-FU,BEZ-235,20.10041374,1,O=c1[nH]cc(F)c(=O)[nH]1,Cn1c(=O)n(-c2ccc(C(C)(C)C#N)cc2)c2c3cc(-c4cnc5ccccc5c4)ccc3ncc21
NCIH520,5-FU_BEZ-235_NCIH520,5-FU,BEZ-235,16.72179723,1,O=c1[nH]cc(F)c(=O)[nH]1,Cn1c(=O)n(-c2ccc(C(C)(C)C#N)cc2)c2c3cc(-c4cnc5ccccc5c4)ccc3ncc21
OV90,5-FU_BEZ-235_OV90,5-FU,BEZ-235,17.54707857,1,O=c1[nH]cc(F)c(=O)[nH]1,Cn1c(=O)n(-c2ccc(C(C)(C)C#N)cc2)c2c3cc(-c4cnc5ccccc5c4)ccc3ncc21
RKO,5-FU_BEZ-235_RKO,5-FU,BEZ-235,16.93600135,1,O=c1[nH]cc(F)c(=O)[nH]1,Cn1c(=O)n(-c2ccc(C(C)(C)C#N)cc2)c2c3cc(-c4cnc5ccccc5c4)ccc3ncc21
RPMI7951,5-FU_BEZ-235_RPMI7951,5-FU,BEZ-235,12.70594985,1,O=c1[nH]cc(F)c(=O)[nH]1,Cn1c(=O)n(-c2ccc(C(C)(C)C#N)cc2)c2c3cc(-c4cnc5ccccc5c4)ccc3ncc21
SKMEL30,5-FU_BEZ-235_SKMEL30,5-FU,BEZ-235,-73.13840165,0,O=c1[nH]cc(F)c(=O)[nH]1,Cn1c(=O)n(-c2ccc(C(C)(C)C#N)cc2)c2c3cc(-c4cnc5ccccc5c4)ccc3ncc21
SKMES1,5-FU_BEZ-235_SKMES1,5-FU,BEZ-235,21.2679035,1,O=c1[nH]cc(F)c(=O)[nH]1,Cn1c(=O)n(-c2ccc(C(C)(C)C#N)cc2)c2c3cc(-c4cnc5ccccc5c4)ccc3ncc21
SW620,5-FU_BEZ-235_SW620,5-FU,BEZ-235,12.02859024,1,O=c1[nH]cc(F)c(=O)[nH]1,Cn1c(=O)n(-c2ccc(C(C)(C)C#N)cc2)c2c3cc(-c4cnc5ccccc5c4)ccc3ncc21
T47D,5-FU_BEZ-235_T47D,5-FU,BEZ-235,106.0071924,1,O=c1[nH]cc(F)c(=O)[nH]1,Cn1c(=O)n(-c2ccc(C(C)(C)C#N)cc2)c2c3cc(-c4cnc5ccccc5c4)ccc3ncc21
VCAP,5-FU_BEZ-235_VCAP,5-FU,BEZ-235,11.75742482,1,O=c1[nH]cc(F)c(=O)[nH]1,Cn1c(=O)n(-c2ccc(C(C)(C)C#N)cc2)c2c3cc(-c4cnc5ccccc5c4)ccc3ncc21
A2058,5-FU_BORTEZOMIB_A2058,5-FU,BORTEZOMIB,-5.239878448,0,O=c1[nH]cc(F)c(=O)[nH]1,CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)c1cnccn1)B(O)O
A2780,5-FU_BORTEZOMIB_A2780,5-FU,BORTEZOMIB,-18.59912622,0,O=c1[nH]cc(F)c(=O)[nH]1,CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)c1cnccn1)B(O)O
A375,5-FU_BORTEZOMIB_A375,5-FU,BORTEZOMIB,-2.405334783,0,O=c1[nH]cc(F)c(=O)[nH]1,CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)c1cnccn1)B(O)O
A427,5-FU_BORTEZOMIB_A427,5-FU,BORTEZOMIB,-7.87670815,0,O=c1[nH]cc(F)c(=O)[nH]1,CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)c1cnccn1)B(O)O
CAOV3,5-FU_BORTEZOMIB_CAOV3,5-FU,BORTEZOMIB,-35.27304184,0,O=c1[nH]cc(F)c(=O)[nH]1,CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)c1cnccn1)B(O)O
ES2,5-FU_BORTEZOMIB_ES2,5-FU,BORTEZOMIB,-16.13012533,0,O=c1[nH]cc(F)c(=O)[nH]1,CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)c1cnccn1)B(O)O
HCT116,5-FU_BORTEZOMIB_HCT116,5-FU,BORTEZOMIB,-4.51926945,0,O=c1[nH]cc(F)c(=O)[nH]1,CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)c1cnccn1)B(O)O
HT144,5-FU_BORTEZOMIB_HT144,5-FU,BORTEZOMIB,-14.56978258,0,O=c1[nH]cc(F)c(=O)[nH]1,CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)c1cnccn1)B(O)O
HT29,5-FU_BORTEZOMIB_HT29,5-FU,BORTEZOMIB,-15.95161347,0,O=c1[nH]cc(F)c(=O)[nH]1,CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)c1cnccn1)B(O)O
KPL1,5-FU_BORTEZOMIB_KPL1,5-FU,BORTEZOMIB,-2.997532726,0,O=c1[nH]cc(F)c(=O)[nH]1,CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)c1cnccn1)B(O)O
LNCAP,5-FU_BORTEZOMIB_LNCAP,5-FU,BORTEZOMIB,-1.855232481,0,O=c1[nH]cc(F)c(=O)[nH]1,CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)c1cnccn1)B(O)O
LOVO,5-FU_BORTEZOMIB_LOVO,5-FU,BORTEZOMIB,-6.175982009,0,O=c1[nH]cc(F)c(=O)[nH]1,CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)c1cnccn1)B(O)O
MDAMB436,5-FU_BORTEZOMIB_MDAMB436,5-FU,BORTEZOMIB,-2.025565761,0,O=c1[nH]cc(F)c(=O)[nH]1,CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)c1cnccn1)B(O)O
MSTO,5-FU_BORTEZOMIB_MSTO,5-FU,BORTEZOMIB,52.48518972,1,O=c1[nH]cc(F)c(=O)[nH]1,CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)c1cnccn1)B(O)O
NCIH1650,5-FU_BORTEZOMIB_NCIH1650,5-FU,BORTEZOMIB,-15.77870569,0,O=c1[nH]cc(F)c(=O)[nH]1,CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)c1cnccn1)B(O)O
NCIH2122,5-FU_BORTEZOMIB_NCIH2122,5-FU,BORTEZOMIB,-16.69626568,0,O=c1[nH]cc(F)c(=O)[nH]1,CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)c1cnccn1)B(O)O
NCIH23,5-FU_BORTEZOMIB_NCIH23,5-FU,BORTEZOMIB,-9.190964586,0,O=c1[nH]cc(F)c(=O)[nH]1,CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)c1cnccn1)B(O)O
NCIH460,5-FU_BORTEZOMIB_NCIH460,5-FU,BORTEZOMIB,-18.99813026,0,O=c1[nH]cc(F)c(=O)[nH]1,CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)c1cnccn1)B(O)O
NCIH520,5-FU_BORTEZOMIB_NCIH520,5-FU,BORTEZOMIB,-24.06755091,0,O=c1[nH]cc(F)c(=O)[nH]1,CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)c1cnccn1)B(O)O
OV90,5-FU_BORTEZOMIB_OV90,5-FU,BORTEZOMIB,-9.586166869,0,O=c1[nH]cc(F)c(=O)[nH]1,CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)c1cnccn1)B(O)O
RPMI7951,5-FU_BORTEZOMIB_RPMI7951,5-FU,BORTEZOMIB,-10.47941439,0,O=c1[nH]cc(F)c(=O)[nH]1,CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)c1cnccn1)B(O)O
SKMEL30,5-FU_BORTEZOMIB_SKMEL30,5-FU,BORTEZOMIB,-172.8887021,0,O=c1[nH]cc(F)c(=O)[nH]1,CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)c1cnccn1)B(O)O
SKMES1,5-FU_BORTEZOMIB_SKMES1,5-FU,BORTEZOMIB,-11.64272985,0,O=c1[nH]cc(F)c(=O)[nH]1,CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)c1cnccn1)B(O)O
SKOV3,5-FU_BORTEZOMIB_SKOV3,5-FU,BORTEZOMIB,-4.604893623,0,O=c1[nH]cc(F)c(=O)[nH]1,CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)c1cnccn1)B(O)O
SW620,5-FU_BORTEZOMIB_SW620,5-FU,BORTEZOMIB,-1.907966818,0,O=c1[nH]cc(F)c(=O)[nH]1,CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)c1cnccn1)B(O)O
SW837,5-FU_BORTEZOMIB_SW837,5-FU,BORTEZOMIB,-1.3618595,0,O=c1[nH]cc(F)c(=O)[nH]1,CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)c1cnccn1)B(O)O
UACC62,5-FU_BORTEZOMIB_UACC62,5-FU,BORTEZOMIB,-17.84185108,0,O=c1[nH]cc(F)c(=O)[nH]1,CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)c1cnccn1)B(O)O
VCAP,5-FU_BORTEZOMIB_VCAP,5-FU,BORTEZOMIB,-7.053510631,0,O=c1[nH]cc(F)c(=O)[nH]1,CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)c1cnccn1)B(O)O
ZR751,5-FU_BORTEZOMIB_ZR751,5-FU,BORTEZOMIB,-17.45137527,0,O=c1[nH]cc(F)c(=O)[nH]1,CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)c1cnccn1)B(O)O
A2058,5-FU_DASATINIB_A2058,5-FU,DASATINIB,31.12564418,1,O=c1[nH]cc(F)c(=O)[nH]1,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1
A2780,5-FU_DASATINIB_A2780,5-FU,DASATINIB,50.60366026,1,O=c1[nH]cc(F)c(=O)[nH]1,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1
A427,5-FU_DASATINIB_A427,5-FU,DASATINIB,28.34808451,1,O=c1[nH]cc(F)c(=O)[nH]1,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1
CAOV3,5-FU_DASATINIB_CAOV3,5-FU,DASATINIB,17.87983173,1,O=c1[nH]cc(F)c(=O)[nH]1,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1
ES2,5-FU_DASATINIB_ES2,5-FU,DASATINIB,17.69019535,1,O=c1[nH]cc(F)c(=O)[nH]1,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1
HCT116,5-FU_DASATINIB_HCT116,5-FU,DASATINIB,-7.819271786,0,O=c1[nH]cc(F)c(=O)[nH]1,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1
HT144,5-FU_DASATINIB_HT144,5-FU,DASATINIB,-22.97327812,0,O=c1[nH]cc(F)c(=O)[nH]1,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1
HT29,5-FU_DASATINIB_HT29,5-FU,DASATINIB,17.06698076,1,O=c1[nH]cc(F)c(=O)[nH]1,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1
LOVO,5-FU_DASATINIB_LOVO,5-FU,DASATINIB,21.38558819,1,O=c1[nH]cc(F)c(=O)[nH]1,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1
MDAMB436,5-FU_DASATINIB_MDAMB436,5-FU,DASATINIB,18.71869688,1,O=c1[nH]cc(F)c(=O)[nH]1,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1
MSTO,5-FU_DASATINIB_MSTO,5-FU,DASATINIB,17.56299065,1,O=c1[nH]cc(F)c(=O)[nH]1,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1
NCIH1650,5-FU_DASATINIB_NCIH1650,5-FU,DASATINIB,23.23497071,1,O=c1[nH]cc(F)c(=O)[nH]1,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1
NCIH2122,5-FU_DASATINIB_NCIH2122,5-FU,DASATINIB,-31.1947196,0,O=c1[nH]cc(F)c(=O)[nH]1,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1
NCIH23,5-FU_DASATINIB_NCIH23,5-FU,DASATINIB,11.55914675,1,O=c1[nH]cc(F)c(=O)[nH]1,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1
NCIH460,5-FU_DASATINIB_NCIH460,5-FU,DASATINIB,21.6687261,1,O=c1[nH]cc(F)c(=O)[nH]1,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1
NCIH520,5-FU_DASATINIB_NCIH520,5-FU,DASATINIB,42.73505144,1,O=c1[nH]cc(F)c(=O)[nH]1,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1
RKO,5-FU_DASATINIB_RKO,5-FU,DASATINIB,17.31163283,1,O=c1[nH]cc(F)c(=O)[nH]1,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1
RPMI7951,5-FU_DASATINIB_RPMI7951,5-FU,DASATINIB,19.06355103,1,O=c1[nH]cc(F)c(=O)[nH]1,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1
SKMEL30,5-FU_DASATINIB_SKMEL30,5-FU,DASATINIB,-4.618694814,0,O=c1[nH]cc(F)c(=O)[nH]1,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1
SW620,5-FU_DASATINIB_SW620,5-FU,DASATINIB,30.44463084,1,O=c1[nH]cc(F)c(=O)[nH]1,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1
SW837,5-FU_DASATINIB_SW837,5-FU,DASATINIB,15.87733689,1,O=c1[nH]cc(F)c(=O)[nH]1,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1
T47D,5-FU_DASATINIB_T47D,5-FU,DASATINIB,18.86560141,1,O=c1[nH]cc(F)c(=O)[nH]1,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1
UACC62,5-FU_DASATINIB_UACC62,5-FU,DASATINIB,12.12396034,1,O=c1[nH]cc(F)c(=O)[nH]1,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1
VCAP,5-FU_DASATINIB_VCAP,5-FU,DASATINIB,21.45572644,1,O=c1[nH]cc(F)c(=O)[nH]1,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1
A2780,5-FU_DINACICLIB_A2780,5-FU,DINACICLIB,-8.161128639,0,O=c1[nH]cc(F)c(=O)[nH]1,CCc1cnn2c(NCc3ccc[n+]([O-])c3)cc(N3CCCCC3CCO)nc12
A375,5-FU_DINACICLIB_A375,5-FU,DINACICLIB,-5.415934201,0,O=c1[nH]cc(F)c(=O)[nH]1,CCc1cnn2c(NCc3ccc[n+]([O-])c3)cc(N3CCCCC3CCO)nc12
A427,5-FU_DINACICLIB_A427,5-FU,DINACICLIB,-7.747473682,0,O=c1[nH]cc(F)c(=O)[nH]1,CCc1cnn2c(NCc3ccc[n+]([O-])c3)cc(N3CCCCC3CCO)nc12
CAOV3,5-FU_DINACICLIB_CAOV3,5-FU,DINACICLIB,-14.34742589,0,O=c1[nH]cc(F)c(=O)[nH]1,CCc1cnn2c(NCc3ccc[n+]([O-])c3)cc(N3CCCCC3CCO)nc12
HT144,5-FU_DINACICLIB_HT144,5-FU,DINACICLIB,-3.477422217,0,O=c1[nH]cc(F)c(=O)[nH]1,CCc1cnn2c(NCc3ccc[n+]([O-])c3)cc(N3CCCCC3CCO)nc12
HT29,5-FU_DINACICLIB_HT29,5-FU,DINACICLIB,-2.539408744,0,O=c1[nH]cc(F)c(=O)[nH]1,CCc1cnn2c(NCc3ccc[n+]([O-])c3)cc(N3CCCCC3CCO)nc12
